,CWD_Status,Case_ID,Province,Sex,Species,Year
15024,Negative,22243,Alberta,Male,White-tailed Deer,2009
15025,Negative,22431,Alberta,Male,White-tailed Deer,2009
15026,Negative,22448,Alberta,Male,White-tailed Deer,2009
15027,Negative,22478,Alberta,Male,White-tailed Deer,2009
15028,Negative,22491,Alberta,Male,White-tailed Deer,2009
15029,Negative,22559,Alberta,Male,White-tailed Deer,2009
15030,Negative,22731,Alberta,Male,White-tailed Deer,2009
15031,Negative,22859,Alberta,Male,White-tailed Deer,2009
15032,Negative,22897,Alberta,Male,White-tailed Deer,2009
15033,Negative,22900,Alberta,Male,White-tailed Deer,2009
15034,Negative,22915,Alberta,Male,White-tailed Deer,2009
15035,Negative,22917,Alberta,Male,White-tailed Deer,2009
15036,Negative,22974,Alberta,Male,White-tailed Deer,2009
15037,Negative,22996,Alberta,Male,White-tailed Deer,2009
15038,Negative,23073,Alberta,Male,White-tailed Deer,2009
15039,Negative,23186,Alberta,Male,White-tailed Deer,2009
15040,Negative,23218,Alberta,Male,White-tailed Deer,2009
15041,Negative,7046,Alberta,Female,Mule Deer,2009
15042,Negative,7059,Alberta,Female,Mule Deer,2009
15043,Negative,7112,Alberta,Female,Mule Deer,2009
15044,Negative,7341,Alberta,Female,Mule Deer,2009
15045,Negative,7633,Alberta,Female,Mule Deer,2009
15046,Negative,7753,Alberta,Female,Mule Deer,2009
15047,Negative,7778,Alberta,Female,Mule Deer,2009
15048,Negative,7879,Alberta,Female,Mule Deer,2009
15049,Negative,7924,Alberta,Female,Mule Deer,2009
15050,Negative,7957,Alberta,Female,Mule Deer,2009
15051,Negative,8011,Alberta,Female,Mule Deer,2009
15052,Negative,8056,Alberta,Female,Mule Deer,2009
15053,Negative,8138,Alberta,Female,Mule Deer,2009
15054,Negative,12541,Alberta,Female,White-tailed Deer,2009
15055,Negative,12594,Alberta,Female,White-tailed Deer,2009
15056,Negative,12855,Alberta,Female,White-tailed Deer,2009
15057,Negative,13032,Alberta,Female,White-tailed Deer,2009
15058,Negative,18150,Alberta,Male,Mule Deer,2009
15059,Negative,18163,Alberta,Male,Mule Deer,2009
15060,Negative,18179,Alberta,Male,Mule Deer,2009
15061,Negative,18271,Alberta,Male,Mule Deer,2009
15062,Negative,18299,Alberta,Male,Mule Deer,2009
15063,Negative,18367,Alberta,Male,Mule Deer,2009
15064,Negative,18379,Alberta,Male,Mule Deer,2009
15065,Negative,18469,Alberta,Male,Mule Deer,2009
15066,Negative,18584,Alberta,Male,Mule Deer,2009
15067,Negative,18628,Alberta,Male,Mule Deer,2009
15068,Negative,18665,Alberta,Male,Mule Deer,2009
15069,Negative,18755,Alberta,Male,Mule Deer,2009
15070,Negative,18794,Alberta,Male,Mule Deer,2009
15071,Negative,18820,Alberta,Male,Mule Deer,2009
15072,Negative,18849,Alberta,Male,Mule Deer,2009
15073,Negative,18906,Alberta,Male,Mule Deer,2009
15074,Negative,18907,Alberta,Male,Mule Deer,2009
15075,Negative,22374,Alberta,Male,White-tailed Deer,2009
15076,Negative,22490,Alberta,Male,White-tailed Deer,2009
15077,Negative,22618,Alberta,Male,White-tailed Deer,2009
15078,Negative,22658,Alberta,Male,White-tailed Deer,2009
15079,Negative,22707,Alberta,Male,White-tailed Deer,2009
15080,Negative,22748,Alberta,Male,White-tailed Deer,2009
15081,Negative,22774,Alberta,Male,White-tailed Deer,2009
15082,Negative,22781,Alberta,Male,White-tailed Deer,2009
15083,Negative,22818,Alberta,Male,White-tailed Deer,2009
15084,Negative,22867,Alberta,Male,White-tailed Deer,2009
15085,Negative,22909,Alberta,Male,White-tailed Deer,2009
15086,Negative,22967,Alberta,Male,White-tailed Deer,2009
15087,Negative,23020,Alberta,Male,White-tailed Deer,2009
15088,Negative,23156,Alberta,Male,White-tailed Deer,2009
15089,Negative,23184,Alberta,Male,White-tailed Deer,2009
15090,Negative,6724,Alberta,Female,Mule Deer,2009
15091,Negative,7180,Alberta,Female,Mule Deer,2009
15092,Negative,7199,Alberta,Female,Mule Deer,2009
15093,Negative,7200,Alberta,Female,Mule Deer,2009
